_time,sensor_id,shipment_id,health_score,is_breach,temperature_c,product_type,battery_pct,hours_until_dead,minutes_to_breach
2026-04-18 17:52:30.853383+00:00,SENSOR-002,SHP-BETA,1.0,False,4.07,,,,
2026-04-18 17:52:35.850453+00:00,SENSOR-002,SHP-BETA,1.0,False,4.01,,,,
2026-04-18 17:52:40.849056+00:00,SENSOR-002,SHP-BETA,1.0,False,3.96,,,,
2026-04-18 17:52:45.853620+00:00,SENSOR-002,SHP-BETA,1.0,False,3.86,,,,
2026-04-18 17:52:50.854283+00:00,SENSOR-002,SHP-BETA,1.0,False,6.98,,,,
2026-04-18 17:52:55.853756+00:00,SENSOR-002,SHP-BETA,1.0,False,6.98,,,,
2026-04-18 17:53:00.857483+00:00,SENSOR-002,SHP-BETA,0.99,False,6.92,,,,
2026-04-18 17:53:05.857078+00:00,SENSOR-002,SHP-BETA,0.99,False,11.18,,,,
2026-04-18 17:54:15.069292+00:00,SENSOR-002,SHP-BETA,1.0,False,3.94,,,,
2026-04-18 17:54:20.066234+00:00,SENSOR-002,SHP-BETA,1.0,False,4.04,,,,
2026-04-18 17:54:25.069839+00:00,SENSOR-002,SHP-BETA,1.0,False,4.11,,,,
2026-04-18 17:54:30.079849+00:00,SENSOR-002,SHP-BETA,1.0,False,4.01,,,,
2026-04-18 17:54:35.069987+00:00,SENSOR-002,SHP-BETA,1.0,False,4.04,,,,
2026-04-18 17:54:40.074857+00:00,SENSOR-002,SHP-BETA,1.0,False,4.09,,,,
2026-04-18 17:54:45.077435+00:00,SENSOR-002,SHP-BETA,0.99,False,4.0,,,,
2026-04-18 17:54:50.072796+00:00,SENSOR-002,SHP-BETA,0.99,False,3.93,,,,
2026-04-18 17:54:55.078445+00:00,SENSOR-002,SHP-BETA,0.99,False,4.02,,,,
2026-04-18 17:55:00.081568+00:00,SENSOR-002,SHP-BETA,0.99,False,3.92,,,,
2026-04-18 17:55:05.083391+00:00,SENSOR-002,SHP-BETA,0.99,False,3.96,,,,
2026-04-18 17:55:10.086618+00:00,SENSOR-002,SHP-BETA,0.99,False,4.01,,,,
2026-04-18 17:55:15.087284+00:00,SENSOR-002,SHP-BETA,0.99,False,3.97,,,,
2026-04-18 17:55:20.087057+00:00,SENSOR-002,SHP-BETA,0.99,False,7.79,,,,
2026-04-18 17:55:25.089638+00:00,SENSOR-002,SHP-BETA,0.99,False,7.74,,,,
2026-04-18 17:55:30.089620+00:00,SENSOR-002,SHP-BETA,0.99,False,10.2,,,,
2026-04-18 17:55:35.092214+00:00,SENSOR-002,SHP-BETA,0.99,False,10.24,,,,
2026-04-18 17:55:44.554788+00:00,SENSOR-002,SHP-BETA,0.79,True,10.17,,,,
2026-04-18 17:55:45.095460+00:00,SENSOR-002,SHP-BETA,0.78,True,10.09,,,,
2026-04-18 17:55:50.095314+00:00,SENSOR-002,SHP-BETA,0.78,True,10.06,,,,
2026-04-18 17:55:55.098404+00:00,SENSOR-002,SHP-BETA,0.78,True,10.13,,,,
2026-04-18 17:56:00.105392+00:00,SENSOR-002,SHP-BETA,0.78,True,10.22,,,,
2026-04-18 17:56:05.114708+00:00,SENSOR-002,SHP-BETA,0.78,True,10.16,,,,
2026-04-18 17:56:10.113796+00:00,SENSOR-002,SHP-BETA,0.78,True,10.15,,,,
