_time,sensor_id,shipment_id,health_score,is_breach,temperature_c,product_type,battery_pct,hours_until_dead,minutes_to_breach
2026-04-18 17:52:34.855693+00:00,SENSOR-001,SHP-ALPHA,1.0,False,3.99,,,,
2026-04-18 17:52:39.857163+00:00,SENSOR-001,SHP-ALPHA,1.0,False,3.95,,,,
2026-04-18 17:52:44.858374+00:00,SENSOR-001,SHP-ALPHA,1.0,False,3.99,,,,
2026-04-18 17:52:49.893645+00:00,SENSOR-001,SHP-ALPHA,1.0,False,3.94,,,,
2026-04-18 17:52:54.911140+00:00,SENSOR-001,SHP-ALPHA,1.0,False,3.88,,,,
2026-04-18 17:52:59.896301+00:00,SENSOR-001,SHP-ALPHA,0.99,False,3.83,,,,
2026-04-18 17:53:04.902917+00:00,SENSOR-001,SHP-ALPHA,0.99,False,3.75,,,,
2026-04-18 17:54:19.070946+00:00,SENSOR-001,SHP-ALPHA,1.0,False,3.94,,,,
2026-04-18 17:54:24.075914+00:00,SENSOR-001,SHP-ALPHA,1.0,False,3.94,,,,
2026-04-18 17:54:29.079036+00:00,SENSOR-001,SHP-ALPHA,1.0,False,4.0,,,,
2026-04-18 17:54:34.085162+00:00,SENSOR-001,SHP-ALPHA,1.0,False,3.99,,,,
2026-04-18 17:54:39.087530+00:00,SENSOR-001,SHP-ALPHA,1.0,False,3.97,,,,
2026-04-18 17:54:44.089143+00:00,SENSOR-001,SHP-ALPHA,0.99,False,3.9,,,,
2026-04-18 17:54:49.089878+00:00,SENSOR-001,SHP-ALPHA,0.99,False,3.99,,,,
2026-04-18 17:54:54.087637+00:00,SENSOR-001,SHP-ALPHA,0.99,False,4.06,,,,
2026-04-18 17:54:59.091549+00:00,SENSOR-001,SHP-ALPHA,0.99,False,4.1,,,,
2026-04-18 17:55:04.093724+00:00,SENSOR-001,SHP-ALPHA,0.99,False,4.05,,,,
2026-04-18 17:55:09.094516+00:00,SENSOR-001,SHP-ALPHA,0.99,False,4.07,,,,
2026-04-18 17:55:14.092149+00:00,SENSOR-001,SHP-ALPHA,0.99,False,4.03,,,,
2026-04-18 17:55:19.098312+00:00,SENSOR-001,SHP-ALPHA,0.99,False,4.09,,,,
2026-04-18 17:55:24.102562+00:00,SENSOR-001,SHP-ALPHA,0.99,False,4.13,,,,
2026-04-18 17:55:29.099236+00:00,SENSOR-001,SHP-ALPHA,0.99,False,4.11,,,,
2026-04-18 17:55:34.099829+00:00,SENSOR-001,SHP-ALPHA,0.99,False,4.06,,,,
2026-04-18 17:55:39.102043+00:00,SENSOR-001,SHP-ALPHA,0.99,False,4.09,,,,
2026-04-18 17:55:44.606522+00:00,SENSOR-001,SHP-ALPHA,0.98,False,4.06,,,,
2026-04-18 17:55:49.103503+00:00,SENSOR-001,SHP-ALPHA,0.98,False,4.0,,,,
2026-04-18 17:55:54.107175+00:00,SENSOR-001,SHP-ALPHA,0.98,False,3.97,,,,
2026-04-18 17:55:59.111792+00:00,SENSOR-001,SHP-ALPHA,0.98,False,3.96,,,,
2026-04-18 17:56:04.111491+00:00,SENSOR-001,SHP-ALPHA,0.98,False,4.03,,,,
2026-04-18 17:56:09.117481+00:00,SENSOR-001,SHP-ALPHA,0.98,False,4.12,,,,
2026-04-18 17:56:14.114416+00:00,SENSOR-001,SHP-ALPHA,0.98,False,6.27,,,,
2026-04-18 17:56:19.114764+00:00,SENSOR-001,SHP-ALPHA,0.98,False,6.33,,,,
2026-04-18 17:56:24.116828+00:00,SENSOR-001,SHP-ALPHA,0.98,False,6.27,,,,
2026-04-18 17:56:29.138804+00:00,SENSOR-001,SHP-ALPHA,0.98,False,6.26,,,,
2026-04-18 17:56:34.142658+00:00,SENSOR-001,SHP-ALPHA,0.98,False,6.33,,,,
2026-04-18 17:56:39.143040+00:00,SENSOR-001,SHP-ALPHA,0.98,False,6.43,,,,
2026-04-18 17:56:44.142759+00:00,SENSOR-001,SHP-ALPHA,0.98,False,6.4,,,,
2026-04-18 17:56:49.145347+00:00,SENSOR-001,SHP-ALPHA,0.97,False,6.37,,,,
2026-04-18 17:56:54.145238+00:00,SENSOR-001,SHP-ALPHA,0.97,False,6.3,,,,
2026-04-18 17:56:59.146254+00:00,SENSOR-001,SHP-ALPHA,0.97,False,6.27,,,,
2026-04-18 17:57:04.145872+00:00,SENSOR-001,SHP-ALPHA,0.97,False,6.31,,,,
2026-04-18 17:57:09.147306+00:00,SENSOR-001,SHP-ALPHA,0.97,False,6.23,,,,
2026-04-18 17:57:14.149713+00:00,SENSOR-001,SHP-ALPHA,0.97,False,6.21,,,,
2026-04-18 18:25:42.855723+00:00,SENSOR-001,SHP-ALPHA,1.0,False,4.07,vaccines,,,
2026-04-18 18:25:47.856928+00:00,SENSOR-001,SHP-ALPHA,1.0,False,4.04,vaccines,,,
